步骤 	 符号栈 	 产生式 
109 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(34,if)(58,IfStmt_m1)(85,()(100,Exp)(110,))(119,IfStmt_m2)(123,Block_m)(129,{)(132,DefList)(29,<ID>)(51,Assignop)(32,()(56,Exp)(82,Aritop)(55,()(80,Exp) 	 Exp->Exp Aritop Exp 
110 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(34,if)(58,IfStmt_m1)(85,()(100,Exp)(110,))(119,IfStmt_m2)(123,Block_m)(129,{)(132,DefList)(29,<ID>)(51,Assignop)(32,()(56,Exp)(82,Aritop)(55,()(80,Exp)(97,)) 	 
111 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(34,if)(58,IfStmt_m1)(85,()(100,Exp)(110,))(119,IfStmt_m2)(123,Block_m)(129,{)(132,DefList)(29,<ID>)(51,Assignop)(32,()(56,Exp)(82,Aritop)(98,Exp) 	 Exp->( Exp ) 
112 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(34,if)(58,IfStmt_m1)(85,()(100,Exp)(110,))(119,IfStmt_m2)(123,Block_m)(129,{)(132,DefList)(29,<ID>)(51,Assignop)(32,()(56,Exp) 	 Exp->Exp Aritop Exp 
113 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(34,if)(58,IfStmt_m1)(85,()(100,Exp)(110,))(119,IfStmt_m2)(123,Block_m)(129,{)(132,DefList)(29,<ID>)(51,Assignop)(32,()(56,Exp)(81,)) 	 
114 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(34,if)(58,IfStmt_m1)(85,()(100,Exp)(110,))(119,IfStmt_m2)(123,Block_m)(129,{)(132,DefList)(29,<ID>)(51,Assignop)(77,Exp) 	 Exp->( Exp ) 
115 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(34,if)(58,IfStmt_m1)(85,()(100,Exp)(110,))(119,IfStmt_m2)(123,Block_m)(129,{)(132,DefList)(38,Exp) 	 Exp-><ID> Assignop Exp 
116 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(34,if)(58,IfStmt_m1)(85,()(100,Exp)(110,))(119,IfStmt_m2)(123,Block_m)(129,{)(132,DefList)(38,Exp)(62,;) 	 
117 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(34,if)(58,IfStmt_m1)(85,()(100,Exp)(110,))(119,IfStmt_m2)(123,Block_m)(129,{)(132,DefList)(37,Stmt) 	 Stmt->Exp ; 
118 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(34,if)(58,IfStmt_m1)(85,()(100,Exp)(110,))(119,IfStmt_m2)(123,Block_m)(129,{)(132,DefList)(37,Stmt)(61,StmtList) 	 StmtList->@ 
119 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(34,if)(58,IfStmt_m1)(85,()(100,Exp)(110,))(119,IfStmt_m2)(123,Block_m)(129,{)(132,DefList)(135,StmtList) 	 StmtList->Stmt StmtList 
